resume_text,job_description,match_score,match_label
"Data analyst experienced with SQL, Python, Excel, Tableau, and Power BI. Built dashboards for sales forecasting, automated monthly KPI reporting, cleaned transactional data, and performed statistical analysis using Pandas. Familiar with ETL pipelines, Git, and stakeholder communication. Strong analytical and visualization skills with exposure to machine learning basics.","Hiring a Business Intelligence Analyst to create interactive dashboards using Power BI and Tableau, analyze business performance using SQL and Python, automate reporting, collaborate with stakeholders, and maintain data quality. Experience with ETL, DAX, Excel, Git, and statistical analysis is preferred.",0.84,high
"Backend developer with experience in Node.js, Express.js, MongoDB, REST APIs, JWT authentication, Docker, Git, and AWS deployment. Built scalable APIs, optimized database queries, implemented logging, and improved response time through caching strategies. Familiar with testing frameworks and Agile practices.","Seeking a Backend Node.js Developer responsible for building REST APIs, integrating databases, implementing authentication, optimizing application performance, and deploying services using Docker and cloud platforms. Experience with MongoDB, Express, Git, AWS, testing, and Agile development is required.",0.88,high
"Computer Science graduate with practical knowledge of C#, ASP.NET Core, SQL Server, Entity Framework, REST APIs, Azure basics, Git, and MVC architecture. Built academic management applications and automated report generation using LINQ queries. Strong understanding of object-oriented programming and software testing.","Hiring a .NET Developer to develop enterprise web applications using C#, ASP.NET Core, SQL Server, Entity Framework, REST APIs, Azure, Git, and CI/CD practices. Responsibilities include API development, performance optimization, debugging, testing, and documentation.",0.87,high
"Machine learning enthusiast experienced with Python, Scikit-learn, TensorFlow basics, SQL, Pandas, feature engineering, and data visualization. Developed classification and regression models for academic datasets and deployed prediction APIs using FastAPI. Familiar with Docker, Git, Linux, and model evaluation metrics.","Seeking a Machine Learning Engineer to build predictive models, prepare datasets, perform feature engineering, deploy ML services, and collaborate with software teams. Candidates should know Python, Scikit-learn, TensorFlow or PyTorch, SQL, Docker, Git, and API deployment using FastAPI.",0.86,high
"QA Engineer with experience in Selenium WebDriver, Java, TestNG, Postman, REST API testing, SQL validation, Git, Jira, and Agile testing. Designed automated regression suites, executed functional testing, and reported defects with detailed documentation. Strong analytical skills and attention to quality.","Looking for a Software Test Engineer experienced in Selenium, Java, API testing, SQL, Postman, TestNG, Git, Jira, Agile methodology, and automation framework development. Responsibilities include writing test cases, automating regression testing, validating APIs, and defect tracking.",0.85,high
"IT support professional with experience troubleshooting Windows systems, Microsoft Office, printer issues, basic networking, Active Directory, ticketing systems, and hardware installation. Assisted users with software configuration, documentation, and remote desktop support. Strong customer service and communication skills.","Hiring a Technical Support Engineer responsible for resolving hardware and software issues, managing Active Directory accounts, troubleshooting Windows environments, supporting Office applications, documenting incidents, and collaborating with infrastructure teams. Experience with ticketing systems and networking basics is preferred.",0.83,high
"Python programmer with knowledge of Django, HTML, CSS, JavaScript, SQLite, Git, and REST APIs. Built blog and task management applications with authentication and CRUD functionality. Familiar with ORM, template rendering, deployment basics, and unit testing.","Seeking a Django Developer to build scalable web applications using Django, Python, REST APIs, PostgreSQL, Git, HTML, CSS, JavaScript, and authentication systems. Responsibilities include backend development, database design, testing, debugging, and deployment support.",0.82,high
"Recent graduate with experience in SQL, Excel, Power BI, Python, statistics, and dashboard development. Built HR analytics reports tracking recruitment, attrition, and employee performance. Familiar with ETL, DAX, Git, and stakeholder presentations. Strong analytical thinking and communication skills.","Hiring an HR Data Analyst responsible for analyzing employee datasets, building Power BI dashboards, writing SQL queries, automating reports with Python, and presenting workforce insights. Experience with Excel, DAX, statistics, and HR metrics is preferred.",0.81,high
"Software developer experienced in Java, Maven, MySQL, JSP, Servlets, and Git. Built academic management systems and inventory applications using MVC architecture. Familiar with REST APIs, JDBC, and unit testing. Strong understanding of OOP and SDLC.","Seeking a Java Software Engineer with Spring Boot, REST API, Docker, Kubernetes, Kafka, Microservices, AWS, Redis, CI/CD, and distributed systems experience. Responsibilities include designing cloud-native applications and high-performance backend services.",0.58,medium
"Frontend developer experienced with React, HTML, CSS, Bootstrap, JavaScript, Git, and responsive web design. Built reusable UI components and integrated REST APIs. Familiar with basic TypeScript, Redux, and performance optimization.","Looking for a React Frontend Engineer with React, TypeScript, Redux Toolkit, Next.js, Tailwind CSS, Jest, accessibility standards, CI/CD, GraphQL, and frontend performance optimization experience. Candidates should collaborate with designers and backend developers.",0.67,medium
"Database administrator familiar with MySQL, PostgreSQL, SQL optimization, backup strategies, indexing, Linux administration, and monitoring. Managed academic databases, optimized queries, and documented recovery procedures. Experience with Git and scripting basics.","Hiring a Database Engineer responsible for PostgreSQL administration, replication, performance tuning, cloud migration, backup automation, SQL optimization, Linux, monitoring, and infrastructure scripting. Knowledge of AWS RDS and disaster recovery planning is preferred.",0.71,medium
"Python developer experienced in Flask, SQLAlchemy, SQLite, REST APIs, Git, Linux, Docker basics, and automation scripting. Developed internal business applications and reporting tools with authentication and role-based access.","Seeking a Backend Python Developer with FastAPI, PostgreSQL, Redis, Celery, Docker, Kubernetes, AWS, CI/CD, asynchronous programming, monitoring, and scalable API design experience. Familiarity with microservices is preferred.",0.63,medium
"Power BI developer skilled in DAX, Power Query, SQL, Excel, and dashboard visualization. Built sales reporting solutions and KPI tracking systems with automated refresh workflows. Familiar with Python for preprocessing and Git version control.","Hiring a Senior Data Visualization Engineer responsible for Power BI governance, semantic modeling, Azure Data Factory integration, enterprise DAX optimization, stakeholder management, SQL Server, Power Query, and cloud reporting architecture.",0.74,medium
"Cloud practitioner with AWS Cloud Practitioner certification, Linux, Bash scripting, Docker basics, IAM, EC2, S3, networking fundamentals, and Git. Deployed sample applications and automated simple provisioning tasks using Terraform.","Looking for a DevOps Engineer experienced with Kubernetes, Jenkins, ArgoCD, Terraform, Helm, Docker, AWS, Prometheus, Grafana, GitOps workflows, monitoring, and production infrastructure automation. Experience managing large-scale cloud environments is expected.",0.56,medium
"Dedicated DevOps enthusiast with practical experience designing CI/CD pipelines using Jenkins, GitHub Actions, Docker, and Kubernetes. Automated application deployments using Terraform and Ansible while configuring Linux servers and monitoring application health with Prometheus and Grafana. Worked on AWS services including EC2, IAM, S3, and CloudWatch to deploy scalable applications. Built infrastructure-as-code projects that improved deployment consistency and reduced manual intervention. Familiar with networking fundamentals, shell scripting, Nginx, load balancing, SSL configuration, and container orchestration. Strong understanding of Agile methodologies, Git workflows, and incident troubleshooting. Comfortable collaborating with developers to improve deployment efficiency and system reliability. Passionate about automation, cloud-native technologies, infrastructure optimization, and continuous learning. Seeking an entry-level DevOps Engineer position where infrastructure automation and cloud skills can contribute to reliable software delivery while expanding expertise in modern platform engineering practices.","We are seeking a DevOps Engineer to automate software delivery pipelines and maintain reliable cloud infrastructure. Responsibilities include developing CI/CD pipelines, managing Docker containers, orchestrating Kubernetes clusters, provisioning infrastructure using Terraform, monitoring applications through Prometheus and Grafana, and maintaining Linux servers. Candidates should have hands-on experience with AWS services, Git, shell scripting, infrastructure as code, networking fundamentals, SSL configuration, and troubleshooting production issues. Familiarity with Ansible, Nginx, Agile development, and cloud security best practices is preferred. Excellent collaboration, documentation, and communication skills are essential as the role requires close coordination with software engineering and operations teams.",0.94,high
"Computer Science graduate with strong knowledge of cybersecurity principles including network security, vulnerability assessment, penetration testing basics, and Linux administration. Built home lab environments using virtual machines to practice firewall configuration, IDS monitoring, and security hardening. Familiar with Wireshark, Nmap, Burp Suite, OWASP Top 10, Python scripting, SIEM fundamentals, and incident response workflows. Completed security-focused academic projects involving log analysis and access control implementation. Strong understanding of authentication mechanisms, encryption concepts, risk assessment, and secure coding practices. Experienced using Git, documentation tools, and collaborative development workflows. Passionate about protecting enterprise infrastructure and continuously learning evolving cybersecurity technologies.","Hiring a Cybersecurity Analyst responsible for monitoring enterprise systems, investigating security alerts, performing vulnerability assessments, supporting incident response activities, and recommending remediation strategies. Applicants should possess knowledge of Linux administration, networking, SIEM platforms, Wireshark, vulnerability scanners, Python scripting, authentication systems, and secure coding principles. Familiarity with OWASP standards, penetration testing tools, firewall management, and compliance frameworks is preferred. Strong analytical thinking, documentation, communication, and collaboration skills are required. Entry-level candidates with relevant certifications, academic projects, or internship experience are encouraged to apply.",0.92,high
"Motivated Android developer experienced in Kotlin, Java, Android Studio, XML layouts, SQLite, Firebase Authentication, and REST API integration. Built multiple Android applications including expense trackers, task managers, and location-based utilities with MVVM architecture. Implemented offline storage, push notifications, and responsive user interfaces following Material Design guidelines. Familiar with Git, Gradle, Retrofit, Room Database, and application testing. Strong understanding of object-oriented programming, debugging, performance optimization, and version control. Passionate about delivering smooth mobile user experiences and continuously learning modern Android development practices.","We are looking for an Android Developer to design and develop native mobile applications using Kotlin and Android SDK. Responsibilities include implementing MVVM architecture, integrating REST APIs, managing offline databases with Room, optimizing application performance, and publishing applications to Google Play. Candidates should be familiar with Firebase services, Git, Gradle, testing frameworks, Material Design, and debugging techniques. Knowledge of push notifications, dependency injection, and Agile software development practices is preferred.",0.91,high
"Data Scientist with strong academic background in Python, SQL, Pandas, NumPy, Scikit-learn, TensorFlow, and statistical analysis. Developed machine learning models for customer segmentation, sales prediction, and fraud detection using supervised and unsupervised learning techniques. Built interactive dashboards using Power BI and visualized insights with Matplotlib and Seaborn. Experienced in feature engineering, hyperparameter tuning, model evaluation, and API deployment using FastAPI. Familiar with Git, Docker, Linux, and AWS fundamentals. Strong analytical thinking, communication skills, and ability to explain technical findings to business stakeholders. Passionate about transforming data into actionable insights using machine learning and modern analytics workflows.","Seeking a Data Scientist to analyze structured datasets, develop predictive models, and communicate business insights. Responsibilities include performing exploratory data analysis, feature engineering, model development using Python and Scikit-learn, dashboard creation, statistical analysis, and deploying models through REST APIs. Candidates should have knowledge of SQL, TensorFlow or PyTorch, Docker, Git, cloud platforms, visualization libraries, and business communication. Experience with Power BI, FastAPI, and machine learning lifecycle management is considered an advantage.",0.95,high
"Backend software engineer experienced in Golang, PostgreSQL, Redis, Docker, RESTful API development, and Linux server administration. Built concurrent microservices capable of processing thousands of requests while implementing JWT authentication, structured logging, caching, and automated testing. Familiar with Kubernetes basics, GitHub Actions, AWS deployment, and API documentation using Swagger. Strong understanding of database indexing, distributed systems fundamentals, object-oriented concepts, and Agile workflows. Passionate about building reliable backend systems with clean architecture and maintainable code.","Hiring a Backend Go Developer responsible for designing scalable REST APIs, optimizing PostgreSQL queries, implementing Redis caching, containerizing applications with Docker, deploying services on AWS, and maintaining CI/CD pipelines. Candidates should understand Linux administration, Git, testing practices, Swagger documentation, authentication mechanisms, and distributed application design. Familiarity with Kubernetes, monitoring tools, and Agile collaboration is preferred.",0.90,high
"Frontend web developer skilled in HTML5, CSS3, JavaScript, Bootstrap, React basics, Git, and responsive design principles. Built academic and freelance websites with reusable UI components, integrated REST APIs, optimized loading performance, and ensured accessibility compliance. Familiar with browser debugging, deployment using Netlify, and SEO fundamentals. Strong communication skills and willingness to learn emerging frontend technologies. Comfortable collaborating with designers and backend developers to deliver user-friendly interfaces.","We are hiring a Senior Angular Developer to architect enterprise-scale frontend applications using Angular, TypeScript, RxJS, NgRx, Angular Universal, Jasmine, Karma, Azure DevOps, and micro frontend architecture. Candidates should possess extensive production experience with large distributed teams, advanced state management, unit testing, performance optimization, CI/CD integration, and enterprise software development.",0.46,low
"Business analyst experienced in requirement gathering, process documentation, stakeholder communication, Microsoft Excel, Power BI, SQL, and workflow analysis. Assisted teams in preparing business reports, documenting functional requirements, creating process diagrams, and supporting software implementation. Strong analytical thinking and communication abilities with familiarity in Agile environments and project coordination. Passionate about improving operational efficiency through structured business analysis.","Looking for a Senior Site Reliability Engineer with expertise in Kubernetes, Prometheus, Grafana, Terraform, AWS, distributed systems, service mesh technologies, chaos engineering, Linux kernel tuning, production incident management, and large-scale reliability engineering. Responsibilities include maintaining highly available cloud infrastructure, automating operational tasks, and optimizing production performance across enterprise systems.",0.34,low
"Entry-level PHP developer with practical knowledge of Laravel, MySQL, HTML, CSS, JavaScript, Bootstrap, and Git. Built CRUD applications, authentication systems, inventory management modules, and REST API integrations during academic projects. Familiar with MVC architecture, database normalization, testing basics, Linux deployment, and collaborative software development. Strong problem-solving mindset and eagerness to contribute to backend application development.","Seeking an AI Research Scientist specializing in transformer architectures, reinforcement learning, large language models, distributed GPU training, PyTorch Lightning, CUDA optimization, advanced mathematics, probabilistic modeling, scientific publishing, and research experimentation. Candidates should demonstrate strong publication records and experience training billion-parameter language models.",0.29,low
"Recent graduate experienced with Microsoft Excel, SQL, Python basics, and Power BI dashboard development. Built simple analytical reports tracking sales and customer performance while cleaning datasets using Pandas. Familiar with Git, documentation, presentation preparation, and stakeholder communication. Strong attention to detail and analytical thinking with interest in data-driven business decision making.","Hiring an FPGA Design Engineer experienced in Verilog, VHDL, Xilinx Vivado, Intel Quartus, digital signal processing, timing analysis, hardware verification, embedded interfaces, and high-speed communication protocols. Responsibilities include FPGA implementation, board bring-up, simulation, and hardware optimization for embedded products.",0.23,low
"Java developer with knowledge of Spring MVC, JDBC, MySQL, Git, Maven, REST APIs, and object-oriented programming. Built academic web applications implementing authentication, CRUD operations, and relational database integration. Familiar with debugging, software testing, Linux basics, and Agile development workflows. Passionate about backend software engineering and continuous improvement.","Looking for an iOS Developer with expertise in SwiftUI, UIKit, Swift Concurrency, Combine Framework, Core Data, Apple Push Notification Service, TestFlight deployment, Xcode Instruments, accessibility standards, and App Store release management. Previous experience building production iOS applications is required.",0.38,low
"Machine learning engineer experienced with Python, Scikit-learn, TensorFlow, FastAPI, Docker, SQL, Pandas, NumPy, and model deployment. Built classification, regression, and recommendation systems while implementing feature engineering, cross-validation, hyperparameter optimization, and monitoring dashboards. Familiar with Git, Linux, AWS, and MLOps fundamentals. Strong communication and problem-solving skills.","Hiring an MLOps Engineer responsible for deploying machine learning models, automating ML pipelines, monitoring model performance, maintaining feature stores, integrating Docker containers, using Kubernetes, MLflow, Git, CI/CD, Python, cloud infrastructure, and model lifecycle management. Knowledge of FastAPI and TensorFlow is preferred.",0.77,medium
"React developer with practical experience in React.js, JavaScript, HTML5, CSS3, Bootstrap, REST API integration, Redux basics, Git, and responsive UI development. Built reusable frontend components and optimized application performance through lazy loading and efficient rendering. Familiar with Next.js fundamentals, testing basics, and Agile teamwork.","Seeking a Frontend Engineer skilled in React, TypeScript, Redux Toolkit, GraphQL, Next.js, Tailwind CSS, Jest, CI/CD pipelines, accessibility, and performance optimization. Candidates should collaborate closely with UX designers and backend engineers to deliver scalable web applications.",0.72,medium
"Cloud engineering enthusiast with AWS Cloud Practitioner certification and practical experience using EC2, IAM, S3, VPC, CloudWatch, Docker, Linux, Git, and Terraform. Built cloud deployment projects demonstrating infrastructure automation, secure networking, and monitoring. Familiar with Bash scripting, CI/CD concepts, and cloud cost optimization. Strong troubleshooting and documentation skills.","Hiring an AWS Cloud Engineer responsible for provisioning secure cloud infrastructure, automating deployments using Terraform, configuring monitoring services, managing IAM permissions, supporting Linux workloads, implementing CI/CD pipelines, and optimizing cloud costs. Experience with Docker, networking, Git, and scripting is preferred.",0.75,medium
"Python backend developer experienced with Django, PostgreSQL, REST APIs, Git, Docker, Linux, authentication systems, and HTML templates. Built business management applications supporting user authentication, CRUD functionality, and reporting dashboards. Familiar with deployment basics, testing, caching concepts, and software documentation. Strong debugging and collaboration skills.","We are looking for a Python Backend Engineer to build scalable web services using Django, FastAPI, PostgreSQL, Redis, Celery, Docker, Kubernetes, cloud deployment, asynchronous programming, API security, monitoring, and microservice architecture. Experience with CI/CD pipelines and production environments is preferred.",0.66,medium
"Power BI analyst experienced with DAX, SQL, Excel, Power Query, Python preprocessing, and dashboard automation. Created interactive KPI dashboards, automated reporting workflows, optimized data models, and presented business insights to stakeholders. Familiar with relational databases, Git, and data validation practices. Strong analytical and visualization skills.","Seeking a Business Intelligence Developer responsible for enterprise dashboard development using Power BI, semantic modeling, Azure SQL, DAX optimization, Power Query transformations, stakeholder collaboration, report governance, and scheduled data refresh management. Familiarity with cloud analytics platforms and SQL Server is preferred.",0.73,medium
"Software engineer with practical experience in C++, object-oriented programming, STL, multithreading, Git, Linux, debugging, and algorithm design. Built academic projects involving file systems, simulations, and networking utilities while focusing on efficient memory management and clean software architecture. Strong analytical thinking and teamwork skills.","Hiring a C++ Software Developer to build high-performance backend applications using modern C++, multithreading, Linux, STL, networking libraries, debugging tools, version control, and software design principles. Knowledge of distributed systems, testing, and Agile methodologies is preferred.",0.85,high
"Database developer skilled in PostgreSQL, SQL optimization, stored procedures, indexing, triggers, views, backup strategies, and Linux administration. Built relational database solutions supporting reporting applications while improving query performance through indexing and normalization. Familiar with Git, scripting, and documentation. Strong understanding of transactional systems and database security.","Looking for a PostgreSQL Database Developer to design schemas, optimize SQL queries, implement stored procedures, manage indexes, perform backups, maintain database security, support application teams, and troubleshoot production database issues. Experience with Linux, scripting, monitoring, and documentation is preferred.",0.88,high
"Automation test engineer experienced with Selenium WebDriver, Java, TestNG, Maven, Postman, REST API testing, SQL validation, Git, and Jenkins integration. Developed regression automation frameworks, executed functional testing, reported defects, and collaborated with developers to improve software quality. Strong analytical thinking and documentation skills.","Hiring a QA Automation Engineer responsible for designing automation frameworks using Selenium, Java, TestNG, REST API testing, SQL validation, Jenkins integration, Git version control, Agile testing practices, defect management, and regression suite maintenance. Experience with CI/CD pipelines and performance testing is advantageous.",0.89,high
"Network engineer with strong understanding of TCP/IP, routing, switching, VLAN configuration, subnetting, Cisco Packet Tracer, firewall basics, Linux networking, and troubleshooting. Built networking labs simulating enterprise infrastructure while documenting topology, security policies, and connectivity testing. Familiar with Wireshark, DNS, DHCP, and VPN concepts. Excellent communication and analytical skills.","Seeking a Network Engineer to configure routers and switches, troubleshoot enterprise networks, maintain VLANs, monitor connectivity, support firewall administration, document network changes, and ensure reliable communication across business infrastructure. Knowledge of Cisco technologies, TCP/IP, VPNs, DNS, DHCP, Linux networking, and monitoring tools is required.",0.84,high
"Full-stack developer experienced with React, Node.js, Express.js, MongoDB, REST APIs, JWT authentication, Docker, Git, and AWS deployment basics. Built scalable web applications featuring responsive interfaces, secure authentication, and backend APIs while following Agile development practices. Familiar with testing, CI/CD concepts, and performance optimization. Strong communication and debugging abilities.","Hiring a Full Stack JavaScript Developer responsible for building web applications using React, Node.js, Express, MongoDB, REST APIs, authentication, Docker, cloud deployment, Git workflows, testing frameworks, and Agile collaboration. Knowledge of AWS, CI/CD, and application optimization is preferred.",0.93,high
"Business Intelligence professional experienced with SQL Server, Power BI, Excel, DAX, Power Query, ETL concepts, Python automation, and dashboard design. Created executive reports tracking operational metrics, automated refresh processes, and optimized data models for improved performance. Strong stakeholder communication, documentation, and analytical skills.","We are seeking a Power BI Developer to create interactive dashboards, build semantic data models, optimize DAX calculations, automate data refresh, integrate SQL Server datasets, collaborate with business stakeholders, and maintain reporting standards. Knowledge of Power Query, ETL workflows, Python automation, and version control is desirable.",0.91,high
"Software engineer with practical experience in C#, ASP.NET Core, Entity Framework, SQL Server, REST APIs, Azure fundamentals, Git, and MVC architecture. Built secure business applications supporting authentication, reporting, and database integration. Familiar with unit testing, CI/CD concepts, and software documentation. Strong understanding of object-oriented programming and software engineering principles.","Looking for a .NET Backend Engineer responsible for developing enterprise APIs using ASP.NET Core, C#, SQL Server, Entity Framework, Azure services, REST architecture, Git, CI/CD pipelines, authentication systems, testing, and application performance optimization. Experience with Agile methodology is preferred.",0.90,high
"Python developer skilled in FastAPI, PostgreSQL, SQLAlchemy, Docker, Git, Linux, REST API development, JWT authentication, and asynchronous programming basics. Built backend services supporting inventory management, analytics reporting, and user authentication with clean architecture principles. Familiar with cloud deployment and testing methodologies. Strong debugging and collaboration skills.","Hiring a FastAPI Backend Developer responsible for designing scalable APIs, integrating PostgreSQL databases, implementing authentication, containerizing applications with Docker, deploying services to cloud infrastructure, writing automated tests, and collaborating with frontend developers. Experience with Git, Linux, asynchronous programming, and documentation is required.",0.92,high
"AI developer experienced in Python, LangChain, vector databases, FastAPI, OpenAI APIs, prompt engineering, SQL, Docker, Git, and retrieval augmented generation. Built conversational AI assistants integrating document search, embeddings, and REST APIs while maintaining modular architecture and evaluation pipelines. Familiar with cloud deployment, monitoring, and software engineering best practices. Passionate about practical generative AI solutions for business automation.","We are hiring a Generative AI Engineer to build LLM-powered applications using LangChain, vector databases, FastAPI, prompt engineering, retrieval augmented generation, Python, Docker, Git, REST APIs, cloud deployment, and evaluation frameworks. Candidates should collaborate with product teams to deliver reliable AI-powered business solutions while following modern software engineering practices.",0.96,high
